的,dik7
一,jat7
是,si6
不,bat7
不,fau2
了,liu5
在,dzoi6
有,jau5
有,jau6
我,ngo5
人,jan4
人,jan2
他,ta1
这,dze2
这,dze3
这,dze5
个,go3
们,mun4
来,loi4
大,daai6
大,taai3
为,wai6
为,wai4
上,soeng6
上,soeng5
时,si4
能,nang4
能,noi6
以,ji5
和,wo4
和,wo6
要,jiu3
要,jiu1
要,jiu2
说,syt8
说,soey3
说,jyt9
就,dzau6
到,dou3
地,dei6
可,ho2
可,hak7
那,na5
那,na6
那,no1
那,no4
那,no6
国,gwok8
会,wui6
会,wui5
会,wui2
会,kui2
也,ja5
中,dzung1
中,dzung3
生,sang1
生,saang1
子,dzi2
着,dzoek9
着,dzoek8
着,dzy3
出,tsoet7
你,nei5
家,ga1
家,dze1
家,gu1
多,do1
得,dak7
年,nin4
用,jung6
么,mo1
学,hok9
下,ha6
下,ha5
去,hoey3
去,hoey2
工,gung1
都,dou1
於,jy1
於,wu1
於,jy4
之,dzi1
自,dzi6
对,doey3
过,gwo3
方,fong1
作,dzok8
好,hou2
好,hou3
成,sing4
成,tsing4
小,siu2
样,joeng6
看,hon3
看,hon1
分,fan1
分,fan6
分,fan2
十,sap9
天,tin1
面,min6
面,min2
发,faat8
然,jin4
同,tung4
从,tsung4
从,sung1
从,dzung6
后,hau6
动,dung6
种,dzung2
种,dzung3
所,so2
没,mut9
她,ta1
三,saam1
三,saam3
如,jy4
两,loeng5
又,jau6
此,tsi2
事,si6
道,dou6
还,waan4
而,ji4
业,jip9
起,hei2
主,dzy2
二,ji6
行,hang4
行,hang6
行,hong4
行,haang4
现,jin6
数,sou3
数,sou2
数,sok8
数,tsuk7
经,ging1
心,sam1
因,jan1
想,soeng2
但,daan6
很,han2
些,se1
点,dim2
当,dong1
当,dong3
物,mat9
只,dzi2
只,dzek8
与,jy5
与,jy6
与,jy4
长,tsoeng4
长,dzoeng2
长,dzoeng6
前,tsin4
水,soey2
本,bun2
开,hoi1
民,man4
法,faat8
其,kei4
其,gei1
见,gin3
见,jin6
进,dzoen3
定,ding6
定,ding3
实,sat9
日,jat9
把,ba2
知,dzi1
知,dzi3
最,dzoey3
问,man6
等,dang2
体,tai2
高,gou1
已,ji5
各,gok8
外,ngoi6
里,loey5
意,ji3
由,jau4
头,tau4
头,tau2
力,lik9
四,sei3
无,mou4
正,dzing3
正,dzing1
使,si2
使,si3
使,sai2
气,hei3
做,dzou6
部,bou6
理,lei5
里,lei5
里,loey5
表,biu2
表,biu1
全,tsyn4
将,dzoeng1
将,dzoeng3
相,soeng1
相,soeng3
重,tsung5
重,dzung6
重,tsung4
间,gaan1
间,gaan3
加,ga1
或,waak9
手,sau2
常,soeng4
情,tsing4
及,kap9
己,gei2
明,ming4
应,jing1
应,jing3
它,ta1
机,gei1
产,tsaan2
便,bin6
便,pin4
度,dou6
度,dok9
回,wui4
位,wai6
位,wai2
向,hoeng3
儿,ji4
儿,ngai4
公,gung1
少,siu2
少,siu3
形,jing4
电,din6
老,lou5
候,hau6
果,gwo2
量,loeng4
量,loeng6
几,gei2
几,gei1
第,dai6
什,sap9
什,sam6
什,dzaap9
活,wut9
走,dzau2
直,dzik9
比,bei2
比,bei6
比,pei4
化,fa3
身,san1
身,gyn1
义,ji6
先,sin1
线,sin3
平,ping4
美,mei5
利,lei6
文,man4
文,man6
原,jyn4
原,jyn5
再,dzoi3
给,kap7
新,san1
代,doi6
变,bin3
西,sai1
解,gaai2
解,gaai3
解,haai6
关,gwaan1
才,tsoi4
立,lap9
立,laap9
并,bing6
并,bing3
边,bin1
政,dzing3
元,jyn4
别,bit9
员,jyn4
员,wan4
员,wan6
牠,ta1
真,dzan1
声,sing1
声,seng1
合,hap9
合,gap8
教,gaau3
教,gaau1
话,wa6
话,wa2
每,mui5
太,taai3
更,gang3
更,gang1
更,gaang1
五,ng5
叫,giu3
内,noi6
内,naap9
月,jyt9
百,baak8
甚,sam6
女,noey5
女,noey6
女,noey2
女,jy5
至,dzi3
呢,nei4
呢,ne1
呢,ni1
次,tsi3
题,tai4
受,sau6
社,se5
放,fong3
山,saan1
入,jap9
九,gau2
计,gai3
计,gei3
今,gam1
战,dzin3
东,dung1
怎,dzam2
被,bei6
被,pei5
被,pei1
总,dzung2
结,git8
则,dzak7
听,ting1
听,ting3
听,teng1
眼,ngaan5
打,da2
打,da1
庭,ting4
名,ming4
名,meng2
光,gwong1
路,lou6
口,hau2
车,tse1
车,goey1
必,bit7
命,ming6
命,meng6
反,faan2
反,faan1
角,gok8
性,sing3
书,sy1
六,luk9
军,gwan1
接,dzip8
处,tsy2
处,tsy3
者,dze2
色,sik7
八,baat8
世,sai3
像,dzoeng6
期,kei4
期,gei1
求,kau4
设,tsit8
白,baak9
许,hoey2
运,wan6
亲,tsan1
亲,tsan3
指,dzi2
任,jam6
任,jam4
图,tou4
通,tung1
觉,gok8
觉,gaau3
论,loen6
论,loen4
爱,oi3
条,tiu4
式,sik7
门,mun4
例,lai6
界,gaai3
即,dzik7
且,tse2
且,dzoey1
海,hoi2
港,gong2
万,maan6
吗,ma1
吗,ma5
字,dzi6
记,gei3
快,faai3
象,dzoeng6
建,gin3
算,syn3
提,tai4
组,dzou2
称,tsing1
称,tsing3
