的,dik7
一,jat7
是,si6
不,bat7
不,fau2
了,liu5
在,dzoi6
有,jau5
有,jau6
我,ngo5
人,jan4
人,jan2
他,ta1
這,dze2
這,dze3
這,dze5
個,go3
們,mun4
來,loi4
大,daai6
大,taai3
為,wai6
為,wai4
上,soeng6
上,soeng5
時,si4
能,nang4
能,noi6
以,ji5
和,wo4
和,wo6
要,jiu3
要,jiu1
要,jiu2
說,syt8
說,soey3
說,jyt9
就,dzau6
到,dou3
地,dei6
可,ho2
可,hak7
那,na5
那,na6
那,no1
那,no4
那,no6
國,gwok8
會,wui6
會,wui5
會,wui2
會,kui2
也,ja5
中,dzung1
中,dzung3
生,sang1
生,saang1
子,dzi2
著,dzoek9
著,dzoek8
著,dzy3
出,tsoet7
你,nei5
家,ga1
家,dze1
家,gu1
多,do1
得,dak7
年,nin4
用,jung6
麼,mo1
學,hok9
下,ha6
下,ha5
去,hoey3
去,hoey2
工,gung1
都,dou1
於,jy1
於,wu1
於,jy4
之,dzi1
自,dzi6
對,doey3
過,gwo3
方,fong1
作,dzok8
好,hou2
好,hou3
成,sing4
成,tsing4
小,siu2
樣,joeng6
看,hon3
看,hon1
分,fan1
分,fan6
分,fan2
十,sap9
天,tin1
面,min6
面,min2
發,faat8
然,jin4
同,tung4
從,tsung4
從,sung1
從,dzung6
後,hau6
動,dung6
種,dzung2
種,dzung3
所,so2
沒,mut9
她,ta1
三,saam1
三,saam3
如,jy4
兩,loeng5
又,jau6
此,tsi2
事,si6
道,dou6
還,waan4
而,ji4
業,jip9
起,hei2
主,dzy2
二,ji6
行,hang4
行,hang6
行,hong4
行,haang4
現,jin6
數,sou3
數,sou2
數,sok8
數,tsuk7
經,ging1
心,sam1
因,jan1
想,soeng2
但,daan6
很,han2
些,se1
點,dim2
當,dong1
當,dong3
物,mat9
只,dzi2
只,dzek8
與,jy5
與,jy6
與,jy4
長,tsoeng4
長,dzoeng2
長,dzoeng6
前,tsin4
水,soey2
本,bun2
開,hoi1
民,man4
法,faat8
其,kei4
其,gei1
見,gin3
見,jin6
進,dzoen3
定,ding6
定,ding3
實,sat9
日,jat9
把,ba2
知,dzi1
知,dzi3
最,dzoey3
問,man6
等,dang2
體,tai2
高,gou1
已,ji5
各,gok8
外,ngoi6
裏,loey5
意,ji3
由,jau4
頭,tau4
頭,tau2
力,lik9
四,sei3
無,mou4
正,dzing3
正,dzing1
使,si2
使,si3
使,sai2
氣,hei3
做,dzou6
部,bou6
理,lei5
里,lei5
里,loey5
表,biu2
表,biu1
全,tsyn4
將,dzoeng1
將,dzoeng3
相,soeng1
相,soeng3
重,tsung5
重,dzung6
重,tsung4
間,gaan1
間,gaan3
加,ga1
或,waak9
手,sau2
常,soeng4
情,tsing4
及,kap9
己,gei2
明,ming4
應,jing1
應,jing3
它,ta1
機,gei1
產,tsaan2
便,bin6
便,pin4
度,dou6
度,dok9
回,wui4
位,wai6
位,wai2
向,hoeng3
兒,ji4
兒,ngai4
公,gung1
少,siu2
少,siu3
形,jing4
電,din6
老,lou5
候,hau6
果,gwo2
量,loeng4
量,loeng6
幾,gei2
幾,gei1
第,dai6
什,sap9
什,sam6
什,dzaap9
活,wut9
走,dzau2
直,dzik9
比,bei2
比,bei6
比,pei4
化,fa3
身,san1
身,gyn1
義,ji6
先,sin1
線,sin3
平,ping4
美,mei5
利,lei6
文,man4
文,man6
原,jyn4
原,jyn5
再,dzoi3
給,kap7
新,san1
代,doi6
變,bin3
西,sai1
解,gaai2
解,gaai3
解,haai6
關,gwaan1
才,tsoi4
立,lap9
立,laap9
並,bing6
並,bing3
邊,bin1
政,dzing3
元,jyn4
別,bit9
員,jyn4
員,wan4
員,wan6
牠,ta1
真,dzan1
聲,sing1
聲,seng1
合,hap9
合,gap8
教,gaau3
教,gaau1
話,wa6
話,wa2
每,mui5
太,taai3
更,gang3
更,gang1
更,gaang1
五,ng5
叫,giu3
內,noi6
內,naap9
月,jyt9
百,baak8
甚,sam6
女,noey5
女,noey6
女,noey2
女,jy5
至,dzi3
呢,nei4
呢,ne1
呢,ni1
次,tsi3
題,tai4
受,sau6
社,se5
放,fong3
山,saan1
入,jap9
九,gau2
計,gai3
計,gei3
今,gam1
戰,dzin3
東,dung1
怎,dzam2
被,bei6
被,pei5
被,pei1
總,dzung2
結,git8
則,dzak7
聽,ting1
聽,ting3
聽,teng1
眼,ngaan5
打,da2
打,da1
庭,ting4
名,ming4
名,meng2
光,gwong1
路,lou6
口,hau2
車,tse1
車,goey1
必,bit7
命,ming6
命,meng6
反,faan2
反,faan1
角,gok8
性,sing3
書,sy1
六,luk9
軍,gwan1
接,dzip8
處,tsy2
處,tsy3
者,dze2
色,sik7
八,baat8
世,sai3
像,dzoeng6
期,kei4
期,gei1
求,kau4
設,tsit8
白,baak9
許,hoey2
運,wan6
親,tsan1
親,tsan3
指,dzi2
任,jam6
任,jam4
圖,tou4
通,tung1
覺,gok8
覺,gaau3
論,loen6
論,loen4
愛,oi3
條,tiu4
式,sik7
門,mun4
例,lai6
界,gaai3
即,dzik7
且,tse2
且,dzoey1
海,hoi2
港,gong2
萬,maan6
嗎,ma1
嗎,ma5
字,dzi6
記,gei3
快,faai3
象,dzoeng6
建,gin3
算,syn3
提,tai4
