㐀,yau1
㐁,tim2
㐅,ng5
㐆,jaan2
㐌,jyu4
㐖,jip6
㐜,chaau4
㐡,no6
㐤,kaau4
㐨,jeui6
㐩,jing4
㐫,gun3
㐫,hung1
㐫,jung1
㐬,laau4
㐭,laam5
㐮,seung1
㐯,yung4
㐰,seun3
㐱,cha5
㐱,chaan2
㐱,dou3
㐱,jaan2
㐲,dai6
㐳,ngaat6
㐴,pan1
㐷,ma6
㐸,gim1
㐸,him3
㐹,go1
㐹,kwok3
㐹,ngaat6
㐺,jung3
㐻,fu1
㐻,mou5
㐻,noi6
㐼,ching2
㐽,fung1
㑁,jyut3
㑁,jyut6
㑂,fong2
㑂,pong4
㑃,au2
㑃,au3
㑃,paai1
㑄,mou5
㑅,jok3
㑅,jok6
㑇,jaau3
㑈,dung1
㑉,chuk1
㑊,jik6
㑋,kung4
㑌,hong1
㑍,leui5
㑎,nou5
㑏,chyu5
㑏,jyu2
㑐,suk1
㑔,seui2
㑗,saan1
㑗,saan6
㑘,gai3
㑙,dip6
㑚,na4
㑚,no4
㑛,chuk1
㑜,jaai6
㑝,lung6
㑞,jing6
㑟,mang1
㑣,lam2
㑣,lam4
㑤,miu4
㑥,ji6
㑦,leui6
㑧,gwaai3
㑨,jyu5
㑩,lo4
㑪,chai4
㑮,gwaat1
㑮,waan4
㑯,seui1
㑰,fui4
㑱,nau4
㑳,jaau3
㑴,chaam1
㑴,cham1
㑵,jaat6
㑶,haai4
㑶,hei3
㑷,tai3
㑸,jiu4
㑹,gwat3
㑹,mok6
㑹,wui6
㑺,jeui6
㑺,jeun3
㑻,ma6
㑻,mei5
㑼,leuk6
㑽,tong4
㑾,jiu4
㑿,cheuk3
㑿,huk6
㑿,jau3
㑿,jiu6
㒀,chim4
㒀,chip3
㒀,jak6
㒁,jyu5
㒁,sou3
㒂,jeuk6
㒃,ji6
㒄,jim5
㒄,ngam4
㒅,kaai2
㒆,kaap1
㒇,ng5
㒈,hon6
㒉,tong2
㒊,saap1
㒊,sik1
㒋,si1
㒌,king4
㒍,leui5
㒎,sat3
㒑,hung2
㒑,kui2
㒑,wak6
㒒,buk6
㒓,tat3
㒔,suk6
㒕,jeung1
㒖,ngaau5
㒗,toi4
㒙,min4
㒙,min6
㒚,waan2
㒛,deui2
㒛,diu6
㒜,jyu5
㒝,jiu5
㒝,mit6
㒞,jeun3
㒟,niu5
㒟,seui1
㒠,hai6
㒡,jaau4
㒤,jip3
㒤,sip3
㒥,fung1
㒥,gaam2
㒦,deui3
㒦,leui5
㒧,laai6
㒨,sin1
㒩,lo2
㒪,sek3
㒫,gei3
㒫,hei2
㒭,kwaan1
㒭,kwaan1
㒭,leui4
㒰,chyun4
㒰,jan2
㒲,choi4
㒳,leung5
㒴,gwaat1
㒵,mau6
㒵,mo1
㒶,gung1
㒷,hing2
㒷,hing3
㒸,seui6
㒹,din1
㒻,mou6
㒼,mang4
㒼,mun4
㒽,hyun1
㒾,si6
㒿,lei4
㓁,mong5
㓂,kaau3
㓂,taau3
㓃,dou3
㓄,jaam3
㓄,saam2
㓅,ding1
㓅,ting1
㓈,bing1
㓉,gwaat3
㓉,gwat3
㓉,kut3
㓉,wun6
㓉,wut6
㓊,dung6
㓋,gung6
㓌,chang1
㓌,chang1
㓌,gwai3
㓌,ting4
㓌,tong3
㓎,chaam1
㓎,saam6
㓏,gwing2
㓐,luk6
㓑,haang6
㓓,lam5
㓓,nam4
㓔,je6
㓖,bit1
㓗,git3
㓘,suk1
㓙,hung1
㓙,kung4
㓚,geui6
㓚,gung1
㓚,kung4
㓛,gung1
㓜,jaau3
㓜,jiu3
㓝,jing4
㓞,kaai3
㓟,ngo4
㓟,pai1
㓟,pei1
㓠,dim3
㓡,fu2
㓢,lok3
㓣,got3
㓣,jak6
㓤,gat1
㓤,hot3
㓤,kit3
㓤,kit6
㓥,tong1
㓦,bak3
㓧,deui1
㓧,haang1
㓧,jim1
㓧,jim2
㓨,chi3
㓩,fan3
㓩,hin2
㓩,hyun1
㓪,long5
㓬,fu1
㓭,hot3
㓮,diu1
㓯,lei4
㓰,wak6
㓱,syu1
㓲,pin3
㓳,daai1
㓴,jyun5
㓵,ngok6
㓶,kit3
㓷,ji6
㓷,nau4
㓸,cheuk3
㓸,jeuk3
㓸,sau2
㓹,jeui6
㓺,gin1
㓺,gin6
㓺,kin4
㓻,gong1
㓽,sung4
㓾,saai1
㔀,king4
㔁,daang1
㔁,taang1
㔂,leun4
㔃,jyut6
㔄,suk1
㔅,siu3
㔆,chaam4
㔇,put3
㔉,chung2
㔉,juk1
㔊,tan2
㔋,ham3
㔋,ham5
㔋,lam6
㔌,jap3
㔌,jau6
㔌,jek3
㔌,jik3
㔌,sei3
㔌,tam3
㔍,chap3
㔍,ja3
㔍,jaai3
㔎,sit3
㔏,gak3
㔏,lik6
㔐,chim1
㔒,kwaai4
㔓,gin2
㔓,jin2
㔕,gaat1
㔕,kaau1
㔗,bei6
㔗,faai3
㔗,fan4
㔗,gaat1
㔗,ngaat6
㔘,jeut1
㔙,ping1
